"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1633409606861","22.0505000446876","86.8426850876896","1221.54776893736","55597.8280097842","157896.659462006","201665.893248463","247770.606190638","297776.05342973","311763.349283898","320182.018565086","366111.463976586","425799.018688668","510492.600157109","602845.397958861","712840.357233664","849409.932525343","1013478.59947223","1155850.99284118","1024674.16829746","1136430.20888071","1247711.48320618","1410819.91336265","1507491.13170086","1602172.10830181","1678637.15636025","1693444.34047388","1867655.66892663","2026620.14146177","2208716.21940928","2087422.7925038","2360253.11413429","2863212.11100633","3160645.62506269","",
"American Samoa","ASM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8972.69636535698","9197.66196836987","8958.42866697173","8831.26975996609","8745.16621137404","9231.37240924563","10030.8089130902","12156.0293905777","10375.1720141957","10383.459331451","11745.4899153958","11813.5022034589","12026.3344929488","12727.4102651386","12843.3342903627","11863.6839452565","12552.0546868861","12886.1359517218","14489.2586563775","15236.1604875571","18017.4589383973","","",
"Antigua and Barbuda","ATG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","3276.43982336914","3711.70242668416","4603.41662258456","5542.91383132082","6237.06796566922","6936.01914023308","7686.11205223766","8830.18402638636","10297.5646761933","12498.4442093472","14644.7002158071","17457.680398598","19406.2376628504","20493.9269971141","21481.2185463896","22013.8500714241","23285.2546998643","25247.8195173765","24391.6174162988","26340.286157559","27906.7738167284","29447.6053692758","30623.218309668","32457.9506621102","31146.5905953805","31474.84162426","32862.7189153099","35197.2204931465","38788.9864465966","43665.0786561461","49149.4908450015","50720.7641837128","44472.6931438822","41084.0365682138","40073.3215957003","41063.3738253495","40636.9231468023","41940.4044386864","43417.7767338859","44706.1765719303","45696.9315116947","49338.2530849262","50987.8070137034","41473.2269233282","46819.0234869896","54317.9663937958","58825.1746752968","",
"Australia","AUS","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1616.70191058667","1676.52389583135","1656.02308694843","1756.43835616438","1903.01782036357","2036.70530382859","2092.78173547335","2303.66980252564","2432.2591389791","2670.96142868792","2950.82753657952","3120.73896575713","3380.73916672991","3723.61733931241","4398.67375938206","5128.91384150291","5939.4997505879","6778.8190529876","7317.10544644101","8181.96224335125","9162.40130683365","10209.5654702793","11581.7399440354","12304.8263575625","13716.3898126698","14916.287440988","16286.0094828743","17607.4900727834","19633.3643919816","21902.6340254696","23715.2044801539","24029.8041499104","24216.9940616072","25190.464222803","26206.3878354672","27539.5306672935","29024.733210581","30215.7022210833","31666.6580680222","33053.2784358119","34824.7882341726","36701.0621850891","38801.6338372349","40724.0358207708","43350.2759934142","45866.5388898284","48877.153284593","52287.4382874819","55514.0454941384","58153.2905767947","59201.9244953306","63498.5441376428","66014.485693228","66467.590179906","68127.2104252885","68196.3949018296","68534.5944242603","71470.9244915582","73790.2480517567","76863.3263950579","77260.0818550314","81206.4840540615","89578.4292383614","96309.6143178643","",
"Austria","AUT","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1775.96312444842","1958.89141469166","2065.24343133239","2215.53991205543","2409.96825971401","2609.53678391381","2822.99639373286","2979.998890891","3185.04795622273","3465.47898099796","3874.80738804937","4306.44657236695","4892.8696358965","5514.42484064636","6265.78193187085","6663.80635825528","7373.91641690431","8148.20405288812","8625.31437174248","9477.37542925455","10179.518912215","10819.9403861424","11620.3133293021","12401.36618923","13022.6990012741","13737.1466037276","14458.813278142","15002.6821267855","15711.5129136989","16730.6025394881","17844.8311701844","18941.1768650262","19791.4737047377","20276.3833079527","21205.9388481875","22132.7183070346","22809.5901792897","23566.487170435","24480.3328757975","25407.4934900037","26512.52139719","27277.4570635514","27850.6704502387","28386.881461537","29434.9887163016","30670.9015221391","32161.7120636874","34019.4887895069","35071.3625290453","34311.7635503264","35159.2014447706","36723.0880770309","37555.1302486563","37877.1713749214","38626.2265461443","39580.6379465489","40709.5245006449","41749.6047202147","43349.7434144436","44561.9746574293","42651.5284970142","45359.6775362371","49548.2003629567","51822.0656453887","",
"Azerbaijan","AZE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.040862972460698","0.0734944232805688","0.652948706660074","4.18957143619576","49.3250225431281","277.663194467036","352.003091588304","402.934328453418","434.803487931252","472.90720616329","586.201326938846","655.340763388894","741.866996249365","867.91513340863","1026.93071690845","1492.22161978586","2209.45129676883","3304.91883514153","4580.09448387612","3979.04695334641","4690.02020248429","5677.69916370528","5889.08907521948","6178.53132926989","6189.15690158414","5635.6180178522","6192.49479289005","7137.97081864857","8057.73090748268","8169.78132002059","7190.84810337655","9193.67709797539","13210.0101796967","12114.0445922664","",
"Burundi","BDI","GDP per capita (current LCU)","NY.GDP.PCAP.CN","3545.25500152301","3580.09649683135","3670.97989884946","3918.5599161706","4266.68643332842","4270.49752544036","4498.62645899887","4726.58747110453","4742.06059838711","4817.64840400742","6016.00597320668","6116.09965363564","5970.3167817119","6742.84625847628","7341.39038068469","8732.18016484171","9961.19636555259","12370.3239948368","13394.0909261627","16753.7046244466","18882.5163001351","19100.7298707363","19479.2572291563","20933.2253030449","23986.976462839","27570.4890821332","26747.8897199563","26640.5629649222","28323.3435725353","32301.2603381834","34701.3058049218","37149.9495867446","38508.7611529892","40145.552413551","40904.2660172976","41188.9184144051","43340.7033944123","56474.073820247","64682.8857682782","71861.9001744474","96957.4008290942","109738.686113893","112576.260453344","120611.10293769","137828.389121305","159245.602420572","166536.415077044","179766.435992518","224690.872653042","244925.760361999","266737.262015323","290135.869828065","334211.959295516","365202.26707797","387507.621679506","441651.293767504","435706.423739024","476682.145680948","456554.631641309","453646.178603345","468459.706709246","510030.648002955","598277.773572252","665915.379215381","",
"Belgium","BEL","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1599.26780807793","1695.32999456183","1806.23299318679","1927.40057367669","2136.8656560808","2304.80241918145","2458.02690808762","2620.01385251861","2790.43298767302","3086.40721348273","3428.32189034513","3749.14872716905","4180.69356608381","4735.30967837302","5536.55548334553","6109.64573959003","6931.59630552441","7487.3423734924","8033.22220340923","8583.95561829344","9325.11546019461","9777.22740542583","10582.8570814026","11212.6019733104","12114.1918336517","12880.3297685566","13477.1030670496","14008.2313144754","14940.4820240315","16141.6803108406","17065.3508811093","17811.7657418882","18627.977479299","19110.7035319142","20078.5753454342","20764.8243614289","21098.233598385","22011.2078630855","22799.5312754827","23694.276559566","25009.2817949031","25697.0885338845","26445.5226737032","27100.6742107103","28482.4678919392","29587.6450107872","30826.0139071468","32338.4718183273","32842.5757936084","32208.1346229743","33338.4913854106","34312.0439953239","34927.2778477441","35361.7625022548","36127.7759583166","36857.439767767","37812.2975209996","38980.3113064452","40210.8714984632","41730.8499100878","40191.2484387193","43674.6662730948","48247.728422691","50589.5648268498","",
"Benin","BEN","GDP per capita (current LCU)","NY.GDP.PCAP.CN","22032.4777160799","22584.9845050627","22240.8532556469","23452.1656235346","24450.0435835315","25760.3120594532","26444.1419712136","26220.3154754425","27532.0395248269","28677.4973634374","30086.1441075973","29432.6569406913","32241.1778111782","34237.8888538314","39703.4151809014","42103.0092235837","47246.8116718325","50858.8797698831","56369.4941377859","66082.2737714638","75638.7259821092","86877.4872242254","100226.242458974","97546.6563277493","104246.699478767","103525.514278058","98964.3753288475","97450.1117986023","97152.0599048867","93572.1361856134","101037.899630009","102881.370044642","105808.628523683","109671.713993515","145535.700055081","173920.901067054","188964.594832989","201103.568995491","213327.731748295","323203.88734935","346172.513393465","360633.722270185","379089.18671094","392012.328969667","400089.152055363","410965.086758546","422719.165070983","436675.847325359","473028.778564065","481628.801242725","481555.672864584","499247.197958553","547074.307221329","577332.602223547","594680.926679628","592641.761528204","598848.061035531","612577.821015002","639730.442512836","662560.684691424","689265.025662637","731334.450848729","788873.671596085","845784.665539038","",
"Burkina Faso","BFA","GDP per capita (current LCU)","NY.GDP.PCAP.CN","16955.3014562151","17718.1731702166","18903.535987765","19333.9397868041","19826.3228367232","20113.2820528047","20351.0353416128","20818.3708612355","21036.5090417455","22553.0198649526","22584.2267905625","23271.7337722028","25110.415113288","25440.0518984757","30008.9964918943","32768.7702244578","37153.3185736793","43230.7471424389","50519.6335478891","54988.9127771347","58650.6828969905","67581.7791229493","78543.2968897156","80757.7018747793","82074.5424880498","87185.420056538","85696.5593235602","84215.7820479788","89690.8002764913","93529.629662012","92187.1580272674","94140.7837262811","92269.561789439","91776.2699442336","103940.661597555","114351.058206814","124170.743647066","130656.699392357","147211.688757888","180233.34368041","176776.821363148","190046.378971421","198162.018940774","210139.691857815","212945.866989103","232607.486497212","237972.006233326","246345.332463751","276269.165229233","282914.189049238","309225.262396101","341666.925606599","373456.715456712","375246.198316185","377656.058519777","372537.123844101","393337.452319273","411738.786685122","431840.524020407","448135.841595287","474994.890330835","496601.787986611","521536.903673982","535412.937431512","",
