Country,Abbrev,Region,MostPopulousCity,Latitude,Longitude,N_years_birth,N_years_death,Birth_pvals_12m,Birth_pvals_6m,Death_pvals_12m,Death_pvals_6m
Cabo Verde,Cabo Verde,Africa,Praia,14.9198,-23.509,17,NaN,0.00061931,0.000208507,NaN,NaN
Philippines,Philippines,Asia,Quezon City,14.676,121.044,29,23,4.86159095677855e-42,0.000787701,2.56443898769947e-07,0.059117084
Guatemala,Guatemala,Central America,Guatemala CIty,14.6349,-90.506,44,21,1.41573276783099e-15,0.005977151,1.89049064658861e-07,1
Martinique,Martinique,Caribbean,Fort de France,14.6061,-61.058,28,22,2.10986100788225e-42,0.030502416,1,0.050561728
Saint Lucia,St. Lucia,Caribbean,Castries,14.011,-60.993,12,NaN,5.10869141680294e-23,1,NaN,NaN
Thailand,Thailand,Asia,Bangkok,13.7563,100.5018,NaN,4,NaN,NaN,0.013302545,1
El Salvador,El Salvador,Central America,San Salvador,13.6929,-89.199,40,33,1.36569436704051e-17,1,1,0.001157052
Guam,Guam,Oceania,Hagatna,13.4769,144.75,4,NaN,5.62487213654942e-13,1,NaN,NaN
Saint Vincent and the Grenadines,St. Vincent-Grenadines,Caribbean,Kingstown,13.16,-61.224,33,NaN,9.00704659127499e-53,0.022905567,NaN,NaN
Barbados,Barbados,Caribbean,Bridgetown,13.0971,-59.618,20,14,1.18906006237522e-11,1,1,0.7585325
Mali,Mali,Africa,Bamako,12.6392,-8.0029,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Aruba,Caribbean,Orangestad,12.5227,-70.037,11,NaN,1.2068128356522e-06,1,NaN,NaN
Nicaragua,Nicaragua,Central America,Managua,12.115,-86.236,4,NaN,0.231594624,1,NaN,NaN
Curaçao,Curaçao,Caribbean,Willemstad,12.1039,-68.933,11,8,1.57746765493712e-13,1,1,1
Trinidad and Tobago,Trinidad-Tobago,Caribbean,Port of Spain,10.6603,-61.518,37,28,8.44410903989487e-65,0.011089008,9.71264235905872e-08,1
Venezuela (Bolivarian Republic of),Venezuela,South America,Caracas,10.4806,-66.904,35,22,4.45127729150256e-14,6.97954723291553e-08,0.207109973,1
Costa Rica,Costa Rica,Central America,San Jose,9.9281,-84.078,38,30,1.19313336653079e-22,3.94162638564692e-08,1.83950226244009e-06,1
Panama,Panama,Central America,Panama City,8.9824,-79.517,48,6,6.35919652308326e-54,0.000148815,0.119906731,1
Palau,Palau,Oceania,Ngerulmud,7.5004,134.624,NaN,NaN,NaN,NaN,NaN,NaN
Sri Lanka,Sri Lanka,Asia,Colombo,6.9271,79.853,35,20,1,1,0.145575564,1
Guyana,Guyana,South America,Georgetown,6.801111,-58.155,5,NaN,0.214571075,1,NaN,NaN
Suriname,Suriname,South America,Paramaribo,5.852,-55.204,34,5,6.22561898196481e-54,0.017410414,1,0.171603389
Ghana,Ghana,Africa,Accra,5.56,-0.205,NaN,NaN,NaN,NaN,NaN,NaN
French Guiana,French Guiana,South America,Cayenne,4.938,-52.336,13,NaN,8.54356398289556e-09,0.01612717,NaN,NaN
Brunei Darussalam,Brunei Darussalam,Asia,Bandar Seri Begawan,4.8923,114.942,10,NaN,1,1,NaN,NaN
Colombia,Colombia,South America,Bogota,4.711,-74.072,4,NaN,0.39174378,1,NaN,NaN
Maldives,Maldives,Asia,Male,4.1753,73.509,43,19,0.038535689,6.9124006159096e-19,0.114395549,1
Malaysia,Malaysia,Asia,Kuala Lumpur,3.1319,101.687,31,29,2.26945513406142e-09,1.01367218516438e-05,1.5101765338573e-11,1
Singapore,Singapore,Asia,Singapore,1.3521,103.852,50,40,1.57032365333472e-58,9.61823641618141e-13,5.01398630380569e-19,0.001106234
Sao Tome and Principe,Sao Tome-Principe,Africa,Sao Tome,0.1864,6.731,8,NaN,0.07016351,0.223128208,NaN,NaN
Seychelles,Seychelles,Africa,Victoria,-4.6211,55.452,50,NaN,1.098637108505e-35,0.002444801,NaN,NaN
Saint Helena: Ascension,St. Helena: Ascension,Africa,Georgetown (Ascension),-7.9333,-14.3667,NaN,NaN,NaN,NaN,NaN,NaN
Tokelau,Tokelau,Oceania,Atafu,-8.5421,-172.515,NaN,NaN,NaN,NaN,NaN,NaN
Peru,Peru,South America,Lima,-12.0467,-77.043,6,NaN,1,1,NaN,NaN
Mayotte,Mayotte,Africa,Mamoudzou,-12.7806,45.228,4,NaN,9.64739758090088e-06,1,NaN,NaN
Wallis and Futuna Islands,Wallis-Futuna Islands,Oceania,Mata-Utu,-13.2816,-176.1745,4,NaN,0.020624461,1,NaN,NaN
Samoa,Samoa,Oceania,Apia,-13.8316,-171.75,NaN,NaN,NaN,NaN,NaN,NaN
Malawi,Malawi,Africa,Lilongwe,-13.9833,33.7833,NaN,NaN,NaN,NaN,NaN,NaN
American Samoa,American Samoa,Oceania,Pago Pago,-14.2732,-170.702,25,NaN,3.71227846344025e-27,1,NaN,NaN
Saint Helena ex. dep.,St. Helena ex. dep.,Africa,Jamestown,-15.9268,-5.716,NaN,NaN,NaN,NaN,NaN,NaN
French Polynesia,French Polynesia,Oceania,Pape'ete,-17.5325,-149.558,11,NaN,2.41506620127772e-06,1,NaN,NaN
